,Unnamed: 0,PSNR_before,PSNR_after,SSIM_before,SSIM_after,m00,m01,m02,m10,m11,m12,a,b,sigma,iso,gt_out,gt_out_ccm,deg_out,deg_out_ccm,deg_out_cfa,loss,bad,ra,rb,rsigma,ga,gb,gsigma,ba,bb,bsigma,r2_after,after,r2_before,mean_after,mean_before
0,0,36.8293144645,36.8293144645,0.918922277859,0.918922277859,1.0,0.0,-0.0,0.0,1.0,-0.0,0.000228703,0.93197,0.00314457,200.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf_cfa.npy,0.0015518699074164,False,0.004455245565623045,0.932681143283844,0.00205993396230042,0.00487842271104455,0.9308494329452515,0.003388857701793313,0.004441967234015465,0.9318548440933228,0.0017155195819213986,0.992351704086433,0.992351704086433,0.9686715103189173,-1.9204322576626964e-09,0.0029802301432937384
1,1,36.3783350262,37.0258043241,0.912030116393,0.922222365546,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000825023,0.974879,0.00452596,640.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf_cfa.npy,0.0012915359111502,False,0.0022900160402059555,0.9764652252197266,0.0032367482781410217,0.0036445592995733023,0.9712963700294495,0.0048731365241110325,0.003147582756355405,0.9663976430892944,0.0028786847833544016,0.9790285328574321,0.9790285328574321,0.9786579780918716,-3.7007505948594144e-09,0.0005151162622496486
2,2,36.358099261,37.0737866047,0.913127060557,0.924156005205,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000541448,0.988194,0.0052698,800.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf_cfa.npy,0.0013574989279732,False,0.0006655438337475061,0.9943798780441284,0.0035400891210883856,0.0012611576821655035,0.9908797144889832,0.005697520915418863,0.0014545583399012685,0.9851378202438354,0.00313565437681973,0.9783031780190611,0.9783031780190611,0.9786629872187618,3.245578028554519e-09,0.00016659747052472085
3,3,36.5552783333,37.970207683,0.909789764518,0.93192028207,1.0,0.0,-0.0,0.0,1.0,-0.20000000298,0.000837288,0.844117,0.00665512,2500.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf_cfa.npy,0.0035350320395082,True,0.011028412729501724,0.8420711159706116,0.005011031404137611,0.011429236270487309,0.8419485092163086,0.007222266402095556,0.012317021377384663,0.8247407674789429,0.004610774107277393,0.9347605447290985,0.9347605447290985,0.8293488893518784,5.673428837837946e-09,0.006766099948436022
4,4,38.6626117573,39.2064063034,0.929127269332,0.936199335107,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000444141,0.53143,0.00446953,4000.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf_cfa.npy,0.0098692765459418,True,0.029789458960294724,0.5333796739578247,0.0038145803846418858,0.030741872265934944,0.527840793132782,0.005074851680546999,0.03014921210706234,0.5284751653671265,0.0032018767669796944,0.9203212239779095,0.9203212239779095,-0.21277331244537057,-7.441081084635925e-10,0.021119700744748116
5,5,43.515790825,45.360326353,0.963705036318,0.976259629717,1.0,0.0,-0.20000000298,0.0,1.0,-0.300000011921,0.000104456,0.108183,0.00200086,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf_cfa.npy,0.0186502840369939,True,0.056264013051986694,0.10652487725019455,0.0018699594074860215,0.05591558292508125,0.10948283970355988,0.0022875391878187656,0.057000160217285156,0.09888079017400742,0.0016996168997138739,0.42914503253539926,0.42914503253539926,-3.1804287817070858,1.9354726710218983e-09,0.0417185053229332
6,6,40.2786126816,41.831755014,0.94178223761,0.957834646302,1.0,0.0,-0.20000000298,0.0,1.0,-0.10000000149,0.000346361,0.339276,0.00356693,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf_cfa.npy,0.013748669065535,True,0.04105190932750702,0.34332311153411865,0.0031177254859358072,0.041542693972587585,0.3403816819190979,0.004055725410580635,0.04198203608393669,0.3338075876235962,0.0027201606426388025,0.8497834016377251,0.8497834016377251,-1.5687649815371918,-6.499071836252313e-10,0.030527889728546143
7,7,41.1588826624,41.1588826624,0.967876868262,0.967876868262,1.0,0.0,-0.0,0.0,1.0,-0.0,4.28614e-05,1.04124,0.00300573,800.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf_cfa.npy,0.0010551954619586,False,-0.0030464231967926025,1.0454624891281128,0.004122816026210785,-0.002624975983053446,1.042085886001587,0.0036661748308688402,-0.002555736806243658,1.0412250757217407,0.002072371542453766,0.9950784300868918,0.9950784300868918,0.9914557128728472,-2.048672120835704e-09,-0.0011021086247637868
8,8,41.460567409,41.460567409,0.962093885414,0.962093885414,1.0,0.0,-0.0,0.0,1.0,-0.0,-0.000536943,0.563093,0.00554558,4000.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf_cfa.npy,0.0090369461104273,True,0.026685360819101334,0.5595598220825195,0.007448652759194374,0.02788114920258522,0.5509572625160217,0.004391610622406006,0.021155158057808876,0.6294078230857849,0.0060667116194963455,0.9064074144635333,0.9064074144635333,0.6827775631332603,2.476138627471869e-09,0.011906245723366737
9,9,41.4409439149,41.4409439149,0.952464088678,0.952464088678,1.0,0.0,-0.0,0.0,1.0,-0.0,-0.00057733,0.362535,0.00560601,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf_cfa.npy,0.0132330572232604,True,0.039710208773612976,0.3555442988872528,0.007838517427444458,0.04024629294872284,0.3521293103694916,0.004276232328265905,0.040556542575359344,0.3510318398475647,0.0019343694439157844,0.9602536307459406,0.9602536307459406,0.20121845786291248,-2.4064774617471585e-09,0.016874775290489197
