,Unnamed: 0.1,Unnamed: 0,PSNR_before,PSNR_after,SSIM_before,SSIM_after,m00,m01,m02,m10,m11,m12,a,b,sigma,iso,gt_out,gt_out_ccm,deg_out,deg_out_ccm,deg_out_cfa,loss,bad,ra,rb,rsigma,ga,gb,gsigma,ba,bb,bsigma,r2_after,after,r2_before,mean_after,mean_before,gt_black_0,deg_black_0,gt_black_1,deg_black_1,gt_black_2,deg_black_2,gt_black_3,deg_black_3
0,0,0,36.8293144645,36.8293144645,0.918922277859,0.918922277859,1.0,0.0,-0.0,0.0,1.0,-0.0,0.000228703,0.93197,0.00314457,200.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf_cfa.npy,0.0015518699074164,False,0.004455245565623,0.932681143283844,0.0020599339623004,0.0048784227110445,0.9308494329452516,0.0033888577017933,0.0044419672340154,0.9318548440933228,0.0017155195819213,0.992351704086433,0.992351704086433,0.9686715103189172,-1.9204322576626964e-09,0.0029802301432937,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793
1,1,1,36.3783350262,37.0258043241,0.912030116393,0.922222365546,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000825023,0.974879,0.00452596,640.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf_cfa.npy,0.0012915359111502,False,0.0022900160402059,0.9764652252197266,0.003236748278141,0.0036445592995733,0.9712963700294496,0.004873136524111,0.0031475827563554,0.9663976430892944,0.0028786847833544,0.979028532857432,0.979028532857432,0.9786579780918716,-3.700750594859414e-09,0.0005151162622496,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511
2,2,2,36.358099261,37.0737866047,0.913127060557,0.924156005205,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000541448,0.988194,0.0052698,800.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf_cfa.npy,0.0013574989279732,False,0.0006655438337475,0.9943798780441284,0.0035400891210883,0.0012611576821655,0.9908797144889832,0.0056975209154188,0.0014545583399012,0.9851378202438354,0.0031356543768197,0.9783031780190612,0.9783031780190612,0.9786629872187618,3.2455780285545192e-09,0.0001665974705247,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511
3,3,3,36.5552783333,37.970207683,0.909789764518,0.93192028207,1.0,0.0,-0.0,0.0,1.0,-0.20000000298,0.000837288,0.844117,0.00665512,2500.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf_cfa.npy,0.0035350320395082,True,0.0110284127295017,0.8420711159706116,0.0050110314041376,0.0114292362704873,0.8419485092163086,0.0072222664020955,0.0123170213773846,0.8247407674789429,0.0046107741072773,0.9347605447290984,0.9347605447290984,0.8293488893518784,5.673428837837946e-09,0.006766099948436,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793
4,4,4,38.6626117573,39.2064063034,0.929127269332,0.936199335107,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000444141,0.53143,0.00446953,4000.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf_cfa.npy,0.0098692765459418,True,0.0297894589602947,0.5333796739578247,0.0038145803846418,0.0307418722659349,0.527840793132782,0.0050748516805469,0.0301492121070623,0.5284751653671265,0.0032018767669796,0.9203212239779096,0.9203212239779096,-0.2127733124453705,-7.441081084635924e-10,0.0211197007447481,0.062442776048342793,0.06274797045718122,0.062442776048342793,0.06274797045718122,0.062442776048342793,0.06274797045718122,0.062442776048342793,0.06274797045718122
5,5,5,43.515790825,45.360326353,0.963705036318,0.976259629717,1.0,0.0,-0.20000000298,0.0,1.0,-0.300000011921,0.000104456,0.108183,0.00200086,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf_cfa.npy,0.0186502840369939,True,0.0562640130519866,0.1065248772501945,0.001869959407486,0.0559155829250812,0.1094828397035598,0.0022875391878187,0.0570001602172851,0.0988807901740074,0.0016996168997138,0.4291450325353992,0.4291450325353992,-3.1804287817070858,1.9354726710218983e-09,0.0417185053229332,0.062442776048342793,0.06274797045718122,0.062442776048342793,0.06274797045718122,0.062442776048342793,0.06274797045718122,0.062442776048342793,0.06274797045718122
6,6,6,40.2786126816,41.831755014,0.94178223761,0.957834646302,1.0,0.0,-0.20000000298,0.0,1.0,-0.10000000149,0.000346361,0.339276,0.00356693,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf_cfa.npy,0.013748669065535,True,0.041051909327507,0.3433231115341186,0.0031177254859358,0.0415426939725875,0.3403816819190979,0.0040557254105806,0.0419820360839366,0.3338075876235962,0.0027201606426388,0.8497834016377251,0.8497834016377251,-1.5687649815371918,-6.499071836252313e-10,0.0305278897285461,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511,0.062442776048342793,0.06238173716657511
7,7,7,41.1588826624,41.1588826624,0.967876868262,0.967876868262,1.0,0.0,-0.0,0.0,1.0,-0.0,4.28614e-05,1.04124,0.00300573,800.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf_cfa.npy,0.0010551954619586,False,-0.0030464231967926,1.0454624891281128,0.0041228160262107,-0.0026249759830534,1.042085886001587,0.0036661748308688,-0.0025557368062436,1.0412250757217407,0.0020723715424537,0.9950784300868918,0.9950784300868918,0.9914557128728472,-2.048672120835704e-09,-0.0011021086247637,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793,0.062442776048342793
8,8,8,41.460567409,41.460567409,0.962093885414,0.962093885414,1.0,0.0,-0.0,0.0,1.0,-0.0,-0.000536943,0.563093,0.00554558,4000.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf_cfa.npy,0.0090369461104273,True,0.0266853608191013,0.5595598220825195,0.0074486527591943,0.0278811492025852,0.5509572625160217,0.004391610622406,0.0211551580578088,0.6294078230857849,0.0060667116194963,0.9064074144635332,0.9064074144635332,0.6827775631332603,2.476138627471869e-09,0.0119062457233667,0.062442776048342793,0.06256485381187817,0.062442776048342793,0.06256485381187817,0.062442776048342793,0.06256485381187817,0.062442776048342793,0.06256485381187817
9,9,9,41.4409439149,41.4409439149,0.952464088678,0.952464088678,1.0,0.0,-0.0,0.0,1.0,-0.0,-0.00057733,0.362535,0.00560601,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf_cfa.npy,0.0132330572232604,True,0.0397102087736129,0.3555442988872528,0.0078385174274444,0.0402462929487228,0.3521293103694916,0.0042762323282659,0.0405565425753593,0.3510318398475647,0.0019343694439157,0.9602536307459406,0.9602536307459406,0.2012184578629124,-2.406477461747158e-09,0.0168747752904891,0.062442776048342793,0.06256485381187817,0.062442776048342793,0.06256485381187817,0.062442776048342793,0.06256485381187817,0.062442776048342793,0.06256485381187817
